date,sales
2013/12/10,6468267
2013/12/11,7851654
2013/12/12,7531034
2013/12/13,10077786
2013/12/14,9466538
2013/12/15,8866680
2013/12/16,8091100
2013/12/17,8430191
2013/12/18,7291001
2013/12/19,6503498
2013/12/20,9663780
2013/12/21,12253051
2013/12/22,11477046
2013/12/23,12616485
2013/12/24,14433708
2013/12/25,10943566
2013/12/26,10074400
2013/12/27,12319713
2013/12/28,16867877
2013/12/29,20405633
2013/12/30,26704557
2013/12/31,23850187
2014/01/01,7251838
2014/01/02,7276418
2014/01/03,6535921
2014/01/04,6944917
2014/01/05,7231532
2014/01/06,7277797
2014/01/07,6972031
2014/01/08,6108163
2014/01/09,6500616
2014/01/10,7699932
2014/01/11,8711205
2014/01/12,7705086
2014/01/13,7497961
2014/01/14,7555366
2014/01/15,6155463
2014/01/16,6585776
2014/01/17,7626072
2014/01/18,7670221
2014/01/19,7140153
2014/01/20,7513501
2014/01/21,6512638
2014/01/22,7352318
2014/01/23,6502398
2014/01/24,8225909
2014/01/25,8662378
2014/01/26,7331656
2014/01/27,6924568
2014/01/28,6999629
2014/01/29,7046604
2014/01/30,6229472
2014/01/31,7926930
2014/02/01,8861378
2014/02/02,8035547
2014/02/03,9632880
2014/02/04,5942091
2014/02/05,7605099
2014/02/06,7377008
2014/02/07,12960822
2014/02/08,3578034
2014/02/09,7171762
2014/02/10,9077758
2014/02/11,8716803
2014/02/12,8498815
2014/02/13,11129364
2014/02/14,6054988
2014/02/15,5202889
2014/02/16,10214959
2014/02/17,10604170
2014/02/18,9899622
2014/02/19,7623828
2014/02/20,7494441
2014/02/21,8628906
2014/02/22,9408619
2014/02/23,8630164
2014/02/24,7748708
2014/02/25,7510296
2014/02/26,7473447
2014/02/27,6442848
2014/02/28,8809831
2014/03/01,8726462
2014/03/02,7840457
2014/03/03,9174957
2014/03/04,7508603
2014/03/05,5288924
2014/03/06,7797963
2014/03/07,8335056
2014/03/08,8474355
2014/03/09,8436962
2014/03/10,7817078
2014/03/11,7672424
2014/03/12,7600898
2014/03/13,5892028
2014/03/14,8624772
2014/03/15,8845928
2014/03/16,7932915
2014/03/17,7464610
2014/03/18,6628524
2014/03/19,7520795
2014/03/20,6167531
2014/03/21,8375122
2014/03/22,8219525
2014/03/23,8398272
2014/03/24,7957454
2014/03/25,7540496
2014/03/26,7263503
2014/03/27,5824960
2014/03/28,9199198
2014/03/29,9095971
2014/03/30,7105208
2014/03/31,10771787
2014/04/01,6349237
2014/04/02,6886066
2014/04/03,5008718
2014/04/04,7875677
2014/04/05,8968545
2014/04/06,7418525
2014/04/07,7068177
2014/04/08,6771386
2014/04/09,6737939
2014/04/10,6747157
2014/04/11,7806349
2014/04/12,8129053
2014/04/13,7467454
2014/04/14,6688154
2014/04/15,6860776
2014/04/16,6988146
2014/04/17,6939175
2014/04/18,7475094
2014/04/19,8938498
